Player Name,Club,Goals_Percentile,Shots_Percentile,Shots_On_Target_Percentile,Conversion_Percentile,Attacking_Percentile
Evanilson,Bournemouth,20.158730158730158,94.6031746031746,64.76190476190476,73.17460317460316,63.17
Phil Foden,Manchester City,88.25396825396825,85.07936507936508,48.25396825396825,28.57142857142857,62.54
Sam Morsy,Ipswich Town,48.888888888888886,42.857142857142854,82.22222222222221,74.60317460317461,62.14
Christian Eriksen,Manchester United,48.888888888888886,46.666666666666664,86.19047619047619,65.39682539682539,61.79
Dejan Kulusevski,Tottenham Hotspur,88.25396825396825,80.95238095238095,48.25396825396825,28.57142857142857,61.51
Bilal El Khannouss,Leicester City,62.53968253968254,66.98412698412697,57.61904761904761,58.25396825396826,61.35
Mathys Tel,Tottenham Hotspur,62.53968253968254,58.88888888888889,61.904761904761905,61.111111111111114,61.11
Liam Delap,Ipswich Town,20.158730158730158,93.01587301587301,67.61904761904762,63.49206349206349,61.07
Jacob Ramsey,Aston Villa,48.888888888888886,53.01587301587302,74.76190476190476,65.39682539682539,60.52
Ryan Gravenberch,Liverpool,20.158730158730158,54.920634920634924,77.14285714285715,88.25396825396825,60.12
Sasa Lukic,Fulham,20.158730158730158,51.587301587301596,91.11111111111111,75.23809523809524,59.52
Sandro Tonali,Newcastle United,77.46031746031747,72.38095238095238,57.61904761904761,28.57142857142857,59.01
Jérémy Doku,Manchester City,71.26984126984127,66.19047619047619,67.61904761904762,28.57142857142857,58.41
Curtis Jones,Liverpool,71.26984126984127,71.11111111111111,61.904761904761905,28.57142857142857,58.21
Savinho,Manchester City,48.888888888888886,86.34920634920636,67.61904761904762,28.57142857142857,57.86
Yehor Yarmoliuk,Brentford,20.158730158730158,33.49206349206349,99.04761904761905,77.61904761904762,57.58
Jesper Lindstrøm,Everton,20.158730158730158,64.60317460317461,71.26984126984127,73.17460317460316,57.3
Daichi Kamada,Crystal Palace,20.158730158730158,54.920634920634924,71.26984126984127,82.53968253968253,57.22
Pape Sarr,Tottenham Hotspur,71.26984126984127,71.11111111111111,57.61904761904761,28.57142857142857,57.14
Jordan Ayew,Crystal Palace,81.42857142857143,69.68253968253968,48.25396825396825,28.57142857142857,56.98
James Garner,Everton,20.158730158730158,40.476190476190474,71.26984126984127,95.71428571428572,56.9
Eddie Nketiah,Crystal Palace,71.26984126984127,78.0952380952381,48.25396825396825,28.57142857142857,56.55
Jefferson Lerma,Crystal Palace,20.158730158730158,61.74603174603175,48.25396825396825,95.71428571428572,56.47
Thomas Partey,Arsenal,77.46031746031747,61.74603174603175,57.61904761904761,28.57142857142857,56.35
Andreas Pereira,Fulham,62.53968253968254,75.55555555555556,57.61904761904761,28.57142857142857,56.07
Jean-Ricner Bellegarde,Wolverhampton Wanderers,62.53968253968254,57.61904761904761,74.76190476190476,28.57142857142857,55.87
Nicolás Domínguez,Nottingham Forest,20.158730158730158,56.34920634920635,74.76190476190476,71.42857142857143,55.67
Tyler Adams,Bournemouth,20.158730158730158,33.49206349206349,77.14285714285715,91.74603174603175,55.63
Jack Clarke,Ipswich Town,20.158730158730158,50.0,71.26984126984127,80.15873015873017,55.4
Jake O'Brien,Everton,62.53968253968254,28.41269841269841,48.25396825396825,81.26984126984127,55.12
Leon Bailey,Aston Villa,48.888888888888886,64.60317460317461,48.25396825396825,58.25396825396826,55.0
Oliver Skipp,Leicester City,20.158730158730158,26.031746031746035,98.09523809523809,74.60317460317461,54.72
Edson Álvarez,West Ham United,20.158730158730158,40.476190476190474,71.26984126984127,85.23809523809524,54.29
Boubakary Soumaré,Leicester City,20.158730158730158,30.476190476190478,90.15873015873017,76.19047619047619,54.25
Flynn Downes,Southampton,48.888888888888886,35.87301587301587,64.76190476190476,67.3015873015873,54.21
Will Hughes,Crystal Palace,20.158730158730158,57.61904761904761,57.61904761904761,81.26984126984127,54.17
Mats Wieffer,Brighton & Hove Albion,48.888888888888886,33.49206349206349,57.61904761904761,76.19047619047619,54.05
Guido Rodríguez,West Ham United,20.158730158730158,31.9047619047619,71.26984126984127,91.74603174603175,53.77
Cameron Archer,Southampton,62.53968253968254,66.19047619047619,57.61904761904761,28.57142857142857,53.73
Harry Winks,Leicester City,20.158730158730158,35.87301587301587,91.11111111111111,67.3015873015873,53.61
Joe Willock,Newcastle United,20.158730158730158,51.587301587301596,80.63492063492063,61.111111111111114,53.37
Tyler Dibling,Southampton,62.53968253968254,64.60317460317461,57.61904761904761,28.57142857142857,53.33
Kalvin Phillips,Ipswich Town,20.158730158730158,38.095238095238095,74.76190476190476,80.15873015873017,53.29
Sam Szmodics,Ipswich Town,77.46031746031747,56.34920634920635,48.25396825396825,28.57142857142857,52.66
Lesley Ugochukwu,Southampton,48.888888888888886,35.87301587301587,61.904761904761905,63.49206349206349,52.54
Ryan Christie,Bournemouth,62.53968253968254,69.68253968253968,48.25396825396825,28.57142857142857,52.26
Yasin Ayari,Brighton & Hove Albion,62.53968253968254,64.60317460317461,52.539682539682545,28.57142857142857,52.06
Jhon Durán,Aston Villa,88.25396825396825,67.61904761904762,23.174603174603174,28.57142857142857,51.9
