Player Name,Club,Appearances,Minutes,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Maxwel Cornet,West Ham United,2,71,0.0,0.0,1.27,0.0,0.0,45.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,6.34,0.0,0.0,0.0,0.0,0.0
Michail Antonio,West Ham United,14,844,0.11,0.11,2.03,0.0,0.53,34.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
Mohammed Kudus,West Ham United,32,2601,0.17,0.1,2.6,0.1,0.24,52.18,74.5,67.16,0.35,0.14,20.93,17.09,0.42,16.89,7.4,7.92,3.22,0.28,1.7,0.35,1.31,11.94,6.92,1.94,1.25,0.0
Niclas Füllkrug,West Ham United,18,788,0.34,0.23,1.83,0.0,0.0,33.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.83,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0
Ollie Scarles,West Ham United,15,662,0.0,0.0,0.41,0.0,0.0,66.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,2.72,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0
Tomás Soucek,West Ham United,35,2570,0.32,0.0,1.93,0.07,0.21,46.82,41.22,37.65,0.0,0.0,3.57,2.45,0.07,7.67,4.17,1.44,0.53,2.94,0.39,0.25,1.61,1.51,1.05,2.45,1.47,0.0
Vladimír Coufal,West Ham United,22,1061,0.0,0.0,0.59,0.08,0.0,65.23,16.88,11.79,3.9,0.59,6.19,3.9,0.0,7.46,5.34,4.24,0.68,3.05,0.85,0.08,1.87,5.85,2.8,2.46,0.68,0.0
Alfie Pond,Wolverhampton Wanderers,1,1,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André,Wolverhampton Wanderers,33,2484,0.0,0.0,0.36,0.04,0.0,62.43,48.48,45.11,0.0,0.0,8.19,6.92,0.18,10.14,4.28,7.03,0.76,1.05,1.34,0.29,3.3,8.51,5.11,0.29,0.07,0.0
Boubacar Traoré,Wolverhampton Wanderers,1,1,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0
Carlos Forbs,Wolverhampton Wanderers,10,232,0.0,0.0,0.78,0.0,0.0,51.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.78,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0
Chiquinho,Wolverhampton Wanderers,1,6,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
